gene_id	cluster
YAR009C	1
YBL065W	1
YBR033W	1
YBR045C	1
YBR136W	1
YBR208C	1
YBR274W	1
YDL206W	1
YDR006C	1
YDR283C	1
YEL063C	1
YER005W	1
YER017C	1
YER111C	1
YFL031W	1
YGL086W	1
YGL215W	1
YIL066C	1
YJL083W	1
YJR151C	1
YKL203C	1
YLL059C	1
YLR024C	1
YLR116W	1
YLR122C	1
YMR086C-A	1
YMR219W	1
YMR290W-A	1
YNL167C	1
YNL245C	1
YNL289W	1
YOL011W	1
YOR336W	1
YPL174C	1
YPL208W	1
YPR071W	1
YPR084W	1
YAR060C	2
YBR013C	2
YBR099C	2
YBR103W	2
YBR196C	2
YBR229C	2
YBR236C	2
YCL069W	2
YDL052C	2
YDL193W	2
YDR051C	2
YDR089W	2
YDR151C	2
YDR323C	2
YDR510W	2
YER190W	2
YFR019W	2
YGL074C	2
YGL127C	2
YGL251C	2
YGL261C	2
YGR006W	2
YGR021W	2
YGR087C	2
YGR226C	2
YGR270W	2
YHL030W	2
YHR033W	2
YHR034C	2
YHR043C	2
YHR092C	2
YIL138C	2
YIL154C	2
YJL108C	2
YJL160C	2
YJR020W	2
YJR021C	2
YJR046W	2
YJR108W	2
YJR113C	2
YJR120W	2
YKL220C	2
YKR002W	2
YKR007W	2
YLL006W	2
YLR027C	2
YLR309C	2
YML020W	2
YMR031W-A	2
YMR066W	2
YMR068W	2
YMR151W	2
YMR154C	2
YMR165C	2
YMR204C	2
YMR237W	2
YMR279C	2
YMR303C	2
YNL138W	2
YNR035C	2
YOL038W	2
YOL073C	2
YOL075C	2
YOL086C	2
YOL104C	2
YOR076C	2
YOR157C	2
YOR353C	2
YOR357C	2
YOR358W	2
YOR363C	2
YOR393W	2
YPL136W	2
YPR040W	2
YPR054W	2
YPR188C	2
YPR197C	2
YAR066W	3
YBL025W	3
YBL098W	3
YBR102C	3
YBR148W	3
YBR262C	3
YDL246C	3
YDR163W	3
YDR281C	3
YDR308C	3
YER185W	3
YFR020W	3
YGR031W	3
YGR040W	3
YHR060W	3
YHR166C	3
YIL084C	3
YIL161W	3
YJL216C	3
YKL075C	3
YLL063C	3
YLR364W	3
YLR396C	3
YMR019W	3
YMR112C	3
YNL158W	3
YNL171C	3
YNR023W	3
YOL114C	3
YOR107W	3
YOR372C	3
YPL139C	3
YPR046W	3
YPR111W	3
YPR195C	3
YAL018C	4
YBL051C	4
YBR094W	4
YBR110W	4
YBR163W	4
YDL080C	4
YDL159W	4
YDL172C	4
YDL192W	4
YDR174W	4
YDR237W	4
YDR352W	4
YDR419W	4
YFL006W	4
YGL040C	4
YGL100W	4
YGL200C	4
YGL210W	4
YGR047C	4
YGR180C	4
YGR275W	4
YHL038C	4
YHR083W	4
YIL118W	4
YJR055W	4
YJR089W	4
YKL108W	4
YKL114C	4
YKL175W	4
YKL186C	4
YLL043W	4
YLR094C	4
YLR253W	4
YLR358C	4
YLR421C	4
YLR464W	4
YML086C	4
YMR203W	4
YMR289W	4
YNL047C	4
YNL070W	4
YNL165W	4
YNL190W	4
YNR050C	4
YOR331C	4
YPL205C	4
YPL215W	4
YPL218W	4
YPR037C	4
YPR133C	4
YPR161C	4
